"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","prop.score","weights"
574.694,2,1,1,6,2,6,6,-0.9585,1.0957,1.3367,1,0.169665103842729,1
387.094,2,1,1,4,7,6,6,2.978981971,0.7211,0.9511,1,0.152401777537571,1
387.141,2,1,2,3,3,6,6,-0.7346,0.9114,1.145,1,0.0800206202501607,1
425.482,2,1,2,1,3,6,6,-0.3381,0.7919,0.4689,1,0.0425231391244896,1
543.873,2,1,2,4,4,4,6,2.5915,0.3905,1.0775,1,0.0890525078683896,1
467.399,1,1,2,3,3,6,6,-0.3381,-0.045,0.6489,0,0.064605046132884,1
322.447,2,1,2,2,2,6,6,-0.5917,0.2121,0.9087,0,0.0681778841549925,1
526.412,2,1,2,3,4,6,6,1.5611,1.6681,1.1958,0,0.0890591784714603,1
608.129,2,1,2,3,4,6,6,0.6642,0.4455,0.8291,0,0.0786686971944914,1
514.213,2,1,1,3,4,6,6,0.5423,1.3203,1.2333,0,0.122801961362664,1
368.07,1,1,1,5,4,6,6,-0.0251,2.1769,1.3414,0,0.131734912070121,1
467.514,1,1,1,3,3,6,6,-0.3381,1.99,1.81,0,0.137315305217362,1
476.61,1,1,1.927620393,5,3,6,6,0.3791,0.4448,0.6429,0,0.083634772625347,1
630.056,1,1,1,3,3,6,6,-0.1613,2.6171,1.7925,0,0.126574178498868,1
479.928,1,1,1,3,3,6,6,-0.3381,1.1762,1.201,0,0.106998423459011,1
502.149,2,1,1,4,2,6,6,-0.0744,1.2969,1.39,0,0.144813206084174,1
530.995,1,1,2,3,1,6,6,-1.4215,0.0024,0.5836,0,0.0563297409769159,1
380.32,2,2,1,6,4,6,6,-0.378,0.2298,0.8143,0,0.104497436298486,1
442.24,2,1,2,1,4,4,4,-0.378,-1.3745,-1.1952,0,0.0137708543961248,1
