treat,Female,HOMEPOS,ESCS
0,0,-0.215563987,0.202631035
0,0,-1.197935413,-1.223724707
0,1,0.588549585,-1.530911692
0,1,-0.494567341,-0.572946094
0,1,-1.772081962,-2.127752994
1,1,0.639744747,0.896876058
1,1,1.61245283,0.540378438
1,1,-0.138051633,0.432625572
1,1,0.21877248,0.613065965
1,1,0.229463839,0.592611184
1,1,1.591995325,1.537792543
0,0,0.335863423,-0.266854901
0,0,-2.2716974,-0.667184195
0,0,0.665547932,1.134541138
0,0,0.16839973,0.867898451
0,0,0.185773188,0.92573191
0,1,1.305076253,1.412994025
0,0,-0.776037932,0.632911974
0,0,-0.292048326,-0.703588835
0,1,0.878655504,1.177033511
0,0,1.428540892,1.542175711
0,0,0.937046774,-0.294493207
0,0,-0.518520098,-0.110400174
0,1,-0.810682048,-0.106747534
0,1,-0.151621435,0.552432149
0,0,-0.373158734,0.456002465
0,1,-0.405541216,0.592854693
0,0,-0.899810975,-0.095180842
0,1,0.026430816,0.458924577
0,1,-0.64157353,0.087694644
0,0,0.111139277,0.319637255
0,0,0.350975248,1.04797358
0,1,-1.219523735,-0.365232659
0,1,-0.308290968,0.735916409
0,0,0.591839234,0.850974554
0,0,1.322655315,0.150154781
0,1,0.336069026,0.412536054
0,1,0.853777534,0.629015825
0,0,-0.411606506,-0.738045402
0,1,-1.439724613,0.142727747
0,1,-0.012428163,-0.63224061
0,0,-0.462801668,-1.902506888
0,1,-0.075856707,-0.063646387
0,0,-0.948333297,-1.743982332
0,0,-0.027334385,0.631694427
0,1,-0.57639736,-1.531885729
0,0,2.089657535,1.502848958
0,1,0.904355887,0.891397099
0,0,-1.043835919,-1.810703881
0,0,-0.223685308,-1.428637785
0,0,-0.912352761,-0.327123453
0,1,-1.064293424,-0.196967731
0,0,-0.258226622,-0.14303042
0,1,-0.664703874,-0.319939929
0,1,-0.00214801,0.395612158
0,0,0.725070018,1.160474878
0,0,0.517513727,-1.069339808
0,1,-1.905723952,-1.690288531
0,0,-0.491174891,-1.024290587
0,0,0.320545995,0.984417652
0,0,1.512015734,0.899189396
0,0,0.749228377,0.516879791
0,0,0.529027499,0.999636984
0,1,0.044215481,-0.086779771
0,1,-1.698373264,-0.246521874
