"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat","pscore"
318.47,2,1,2,3,3,4,4,0.0979,-0.8503,-0.5893,0,0.0236458696788981
301.199,2,1,1,2,3,6,6,0.3791,0.3748,0.8031,0,0.100372522971156
396.039,1,1,2,1,3,4,4,-0.6837,0.2779,0.1973,0,0.020087262805534
415.97,1,1,2,2,4,5,5,-0.0621,-0.9296,0.08,0,0.0324940481492427
434.418,1,1,1,3,4,2,2,0.2906,1.4064,-0.7249,0,0.0312569373723066
373.029,1,1,2,4,3,6,6,-0.0099,0.7923,1.1012,0,0.104898600442351
316.878,1,2,2,1,4,2,5,0.4906,-1.3158,-1.0125,0,0.00395681979405755
338.692,1,1,2,2,4,4,4,0.6642,-0.5093,-1.0012,0,0.0182886628900918
561.551,1,2,2,1,2,0,4,-0.8828,-0.6527,-1.0539,0,0.000778426759918048
509.165,1,1,1,6,4,5,6,1.5611,5.2563,2.5971,0,0.0857656580136879
300.901,1,1,2,2,3,2,2,-0.5064,-0.0295,-1.2526,0,0.0117914233613123
493.185,1,1,1,6,1,6,6,-1.3612,2.0032,1.6702,0,0.135203385414444
579.663,1,1,1,4,3,6,6,-0.3381,0.3769,0.7832,0,0.111668605769815
416.385,1,1,2,2,3,4,4,-0.3381,0.9682,-0.2775,0,0.0209010129893951
491.783,1,1,1,3,3,6,6,0.0248,0.8843,0.4945,0,0.0779872257659695
490.059,1,1,1,4,3,6,6,-0.6334,0.6919,0.961,0,0.114427141999498
309.795,1,1,2,3,2,2,6,-0.2953,-0.0363,0.4041,0,0.0268303494738059
489.786,1,1,1,3,3,4,4,-0.3381,0.7037,0.705,0,0.0616214944406113
632.483,1,1,1,4,3,6,6,-0.3381,0.807,1.1066,0,0.134661812879825
512.947,1,1,1,3,4,6,6,1.5611,1.2555,1.4781,0,0.19236075745873
453.52,1,1,2,3,2,2,4,-0.6981,0.5585,-0.4228,0,0.0163180963759958
437.589,1,1,2,3,2,2,4,-1.3432,0.5148,-0.2323,0,0.0139824939051643
589.377,2,1,2,5,3,5,5,-0.3381,0.1674,-0.1781,0,0.0513284480188577
596.424,2,1,1,5,4,6,6,0.7934,0.0857,0.3456,0,0.117459650931867
508.893,2,1,2,2,4,5,6,-0.2387,-0.3623,0.6769,0,0.0549235664769379
588.664,2,1,2,2,3,4,4,0.2947,0.7268,0.1143,0,0.0274077987898568
412.479,1,1,1,3,3,5,5,-0.3381,-0.3582,0.166,0,0.0547376418028334
350.187,1,2,2,3,4,2,4,-0.2387,-1.2395,-0.691,0,0.00112586992377956
508.477,2,1,2,1,4,5,5,1.5611,-0.9747,-0.3086,0,0.0216546219944552
432.11,2,1,2,2,3,1,2,0.514,-0.7221,-1.5691,0,0.0103325549485966
571.865,1,1,2,3,3,4,4,0.514,-1.0816,-1.1089,0,0.0221442051579277
416.027,1,2,2,3,3,5,5,-1.3147,-0.7682,-0.4806,0,0.00878616622405316
549.616,2,1,2,1,1,1,1,-1.8419,-0.9031,-2.0633,0,0.00417603755869855
626.371,2,1,1,1,2,1,2,-1.0761,0.0708,-0.8276,0,0.00855946875465904
415.091,2,1,2,2,3,4,4,-0.3381,-0.2113,-0.7677,0,0.0169038516072612
405.14,1,1,2,1,3,1,1,-0.3381,-1.7013,-2.4807,0,0.00556841599782476
499.305,2,1,2,2,3,4,4,-0.3381,-0.7743,-0.8093,0,0.0153499455339678
602.113,2,1,2,1,4,4,4,0.6642,-1.2558,-1.1957,0,0.0106917871533103
389.183,2,1,2,1,3,0,0,-0.6239,-1.2693,-3.0459,0,0.00901545936787708
504.147,2,1,1,3,3,2,2,-0.6837,1.2208,0.0334,0,0.0256671570267092
487.753,2,1.102773744,2.189182134,0.865455608,3.610941095,0.906037156,1.526509519,0.610766547,-0.483915748,-1.403873117,0,0.00577854211455313
415.368,2,1,2,3,4,5,5,1.5611,-1.5682,-1.1052,0,0.0253762956716544
435.867,2,1,1,4,3,2,4,-0.4725,0.0925,-0.9247,0,0.0313780592253097
543.708,2,1,1,3,4,0,0,0.6642,0.1716,-2.1787,0,0.0396022972829501
557.24,2,1,2,4,3,4,4,-0.5064,0.2425,-0.043,0,0.0340847732653125
521.17,2,1,1,1,4,4.805740651,4.669186432,0.6642,-0.2927,-0.722075636,0,0.0239018426217907
421.826,1,1,2,2,3,0,2,-0.3381,-0.8425,-1.5514,0,0.00710253697425162
432.752,1,1,2,1,2,4,4,-1.1247,-0.9059,-0.6717,0,0.00955185316068266
504.044,1,1,1,2,1,6,6,-1.3161,0.144,0.7183,0,0.0665086068372579
359.238,1,1,1,5,4,6,6,2.5915,2.7615,1.7216,0,0.151982552232483
628.292,1,1,1,5,1,6,6,-0.5174,1.2777,1.2589,0,0.142048551921327
635.299,1,1,1,6,2,6,6,-0.7989,1.3145,1.2725,0,0.143157491666007
593.053,1,1,1,4,3,6,6,-0.3381,0.8883,1.2191,0,0.146399253546639
501.997,1,1,1,6,4,6,6,0.6642,1.8519,1.2013,0,0.150612235861546
427.718,1,1,2,5,3,4,4,1.0676,-0.1981,-0.8249,0,0.0507381476224592
261.231,1,1,2,1,3,5,5,0.0371,-0.8521,-0.6354,0,0.0155882723453546
464.099,1,1,1.233955102,3,2,1,1,-0.654,0.3472,-1.0253,0,0.017972850322807
536.007,1,1,1,5,3,6,6,-0.3381,2.0288,1.6589,0,0.164012517546043
645.169,1,1,1,5,3,6,6,-0.3381,0.385,0.8275,0,0.129574690822286
583.646,1,1.136316954,1,5,3,5,5,-0.4395,0.5124,0.3206,0,0.0554109899437999
603.981,1,1,2,4,3,6,6,-0.4953,0.9137,1.3731,0,0.121647735490123
411.556,1,1,2,3,2,4,4,-0.6981,0.2245,0.0278,0,0.0270015894761095
423.803,1,1,2,2,2,4,4,-1.1407,-0.7357,-1.2497,0,0.0119873541682303
548.964,2,1,2,1,3,4,4,-0.1613,-0.4571,-0.2588,0,0.0161316528186565
446.913,2,1,1,3,3,5,6,-0.3381,0.5771,-0.0317,0,0.0475778359010813
547.556,1,1,1,6,2,4,4,-0.8427,1.1645,-0.0348,0,0.0666574431173585
572.522,1,1,1,6,3,6,6,-0.6315,0.9798,0.7775,0,0.119538363106206
400.786,1,1,2,1,3,4,4,-0.5064,-0.7689,-0.9727,0,0.0103059075348379
430.194,1,1,2,1,3,1,1,-0.3381,-0.4788,-2.0521,0,0.00791570242583196
357.35,1,1,2,1,3,2,4,-0.5942,-1.4808,-0.3457,0,0.00900155014474336
389.407,1,1,1,4,3,4,4,-0.3381,0.0303,0.1476,0,0.0538406040140885
523.739,1,1,1,4,3,6,6,-0.082,0.951,0.6636,0,0.097601693098513
465.074,1,1,1,3,4,6,6,-0.0621,1.1072,1.1136,0,0.12161258736495
524.471,1,1,2,3,2,6,6,-0.7527,0.25,0.53,0,0.0534243055522493
483.56,1,1,1,6,3,5,6,-0.1985,1.4443,1.0515,0,0.115806878524971
507.178,2,1,2,4,3,6,6,0.0248,0.4535,0.894,0,0.0943392573485418
537.495,1,1,2,5,2,6,6,-0.5917,0.1725,0.3568,0,0.0691518448642258
521.21,2,1,2,1,3,4,4,-0.3381,-1.0823,-0.9225,0,0.0102379938649416
555.348,1,1,2,3,3,5,5,-0.8021,0.6709,0.7921,0,0.0517105562340295
555.085,1,1,1,4,4,6,6,0.4232,1.9468,1.5462,0,0.164258369944864
548.449,1,1,2,4,3,4,4,-0.3381,0.1039,0.216,0,0.0398954318043874
610.747,1,1,1,4,3,5,6,-0.4838,1.3331,1.2793,0,0.113411479711632
450.499,2,1,1,4,1,6,6,-2.4078,2.4323,1.6626,0,0.0743262270990085
534.322,1,1,2,5,3,4,4,-0.3381,1.5056,0.4625,0,0.0462745408873045
456.3,2,1,1,5,4,6,6,2.5915,0.6034,0.8045,0,0.139124799644239
475.807,2,2,1,2,3,2,2,-0.3381,-0.8249,-1.5243,0,0.00299100222021325
588.87,2,1,2,2,2,4,4,-0.6981,0.4916,-0.0755,0,0.0204950376019243
421.494,2,1,1,3,3,5,5,0.1674,0.3805,0.1482,0,0.0569459125968457
432.817,2,1,2,2,3,5,5,-0.5753,-0.3558,0.0635,0,0.0281782611200274
344.67,2,1,2,1,2,2,2,-1.2871,1.1624,-0.5253,0,0.00827747257739549
547.004,2,1,2,1,3,5,5,1.0676,-0.1451,0.5336,0,0.0458535786461952
485.588,2,1,2,3,3,5,5,-0.3381,-0.0874,0.2035,0,0.0396897003914074
381.663,2,1,2,3,4,2,2,0.6642,0.1036,-0.6458,0,0.0194811768205218
466.484,2,1,1,4,3,6,6,-0.4725,0.613,1.056,0,0.131044944855229
497.637,2,1,1,4,3,6,6,0.5643,2.4309,1.6001,0,0.149784745538057
599.04,2,1,2,2,3,6,6,-0.3381,-0.0453,0.8967,0,0.0785243288895693
269.759,2,2,2,3,3,5,5,-0.5753,-0.9763,-0.2293,0,0.0121345410585355
529.566,2,1,2,3,4,4,6,2.5915,0.4426,0.7454,0,0.0552723580207082
366.18,2,1,2,1,9,2,4,2.6093,-1.0401,-0.1425,0,0.0133580397367084
375.803,2,2,2,1,9,0.053551105,1.017469544,2.805916065,-8.7421,-4.99624363,0,1.55361428575204e-05
349.237,2,1,2,2,3,4,4,0.0499,-0.9089,-0.9415,0,0.0156757796681951
411.164,2,1,1,3,3,4,4,-0.3381,0.6452,-0.019,0,0.0398715044415366
435.331,2,1,2,1,3,4,4,-0.8714,-1.5007,-0.3531,0,0.0120716439366842
456.34,2,1,1,5,4,5,5,0.7934,1.0508,0.5805,0,0.0993629282579791
357.173,2,1,2,1,3,4,5,-0.604,-1.1942,-0.8438,0,0.00974141266293187
577.256,2,1,2,3,4,6,6,2.5915,1.2595,1.2729,0,0.109094975352072
469.16,2,1,2,1,4,4,4,0.1985,-0.7693,-0.9108,0,0.0120325752330038
431.939,2,1,1,6,3,5,5,0.0248,1.6335,0.7946,0,0.102716844384251
404.235,2,1,2,1,3,2,4,-1.2537,-0.7784,-1.1621,0,0.00553415669953007
483.005,2,1,2,3,3,4,4,-0.6837,0.4671,-0.4151,0,0.0235778147381507
