Y,GENDER,ST011Q06,ST011Q07,ST013Q01,ST034Q01,MISCED,HISCED,BELONG,HOMEPOS,ESCS,treat
515.324,1,1,2,5,3,4,4,-0.3381,1.6547,0.5173,0
477.149,1,1,1,2,2,5,5,-0.6981,0.1865,-0.1711,0
392.395,2,1,1,4,3,6,6,0.1313,1.5177,1.2232,0
510.419,1,1,2,2,2,2,4,-1.1407,-0.9981,-1.3255,0
461.378,1,1,1,2,3,6,6,-0.3381,0.1796,0.7727,0
554.886,2,1,2,2,3,4,6,-0.3381,-0.2239,0.7897,0
427.514,2,1,2,6,4,6,6,0.4762,-0.3849,0.5653,0
456.57,2,1,1,5,4,6,6,1.5043,1.8398,1.4035,0
414.986,1,1,1,3,4,6,6,0.6642,0.7447,1.1044,0
534.11,1,1,1,2,2,6,6,0.223,1.0672,0.8303,0
523.698,1,1,2,2,1,4,6,-1.3612,-0.6773,-0.1001,0
535.024,1,2,2,1,3,4,4,0.4801,-2.0547,-1.4659,0
372.207,1,1,2,1,2,6,6,-0.8427,-1.8056,-0.8386,0
444.452,1,1,2,1,3,5,6,-0.3381,1.2902,1.0569,0
508.981,1,1,1,5,3,5,5,0.2947,0.7557,0.2447,0
406.516,1,1,2,2,4,4,4,-0.0621,0.424,0.1683,0
413.021,1,1,2,1,3,5,5,0.3395,0.3692,-0.5379,0
609.405,1,1,2,3,4,6,6,2.5915,0.5514,1.116,0
560.551,1,1,2,1,3,4,4,-1.045,-1.094,-0.5962,0
454.783,1,1,2,4,4,6,6,2.5915,0.9756,1.2926,0
417.836,1,1,1,5,2,6,6,-0.8843,4.187,1.2949,0
527.616,1,2,2,1,4,2,4,2.5915,-2.591,-1.7043,0
495.041,1,2,2,6,4,4,4,0.1771,-1.3532,-1.2907,0
511.546,1,1,2,2,4,4,4,0.88,-1.2473,-0.3633,0
560.99,2,1,2,3,4,4,5,2.5915,0.5093,0.3195,0
510.89,2,1,2,2,1,6,6,-1.5982,-0.8413,0.4802,0
407.404,2,1,2,4,3,5,6,0.0018,0.7296,0.3136,0
525.682,2,1,1,2,1,6,6,-1.9933,0.3048,0.984,0
323.745,2,1,1,2,4,4,4,0.75,0.2879,0.6763,0
467.33,2,1,2,1,3,6,6,-0.3381,-0.1557,0.6082,0
410.976,2,1,2,2,4,5,5,0.4597,0.2843,0.0508,0
466.699,2,1,2,2,4,6,6,0.1534,-0.0129,1.0739,0
348.076,2,1,2,3,4,6,6,-0.3411,0.3997,1.0189,0
616.72,2,1,2,5,4,6,6,0.6642,0.1372,0.0339,0
349.012,2,1,1,3,3,6,6,-0.1985,1.4185,0.2775,0
468.451,2,1,2,2,3,6,6,-0.5173,0.3504,0.6289,0
352.763,2,1,1,3,3,6,6,-0.1985,0.4193,0.4296,0
379.145,2,1,2,1,1,5,5,-2.4078,-0.2267,0.5656,0
437.31,1,1,2,2,3,6,6,0.0248,-0.5759,-0.2488,0
472.995,1,1,2,4,2,2,5,-0.5304,0.2896,0.714,0
366.911,1,1,2,2,4,4,4,2.5915,0.345,-0.5478,0
365.423,1,2,2,2,3,4,4,-0.5064,-1.7104,-1.484,0
313.509,1,1,2,3,4,5,5,0.7246,-0.2138,0.219,0
294.924,1,1,1,1,2,6,6,-1.1407,1.0778,0.2143,0
417.261,1,2,2,2,3,5,6,-0.3381,-1.2206,-0.0518,0
520.843,1,1,2,3,3,4,4,-0.7104,-0.279,-0.3587,0
432.903,1,1,2,4,4,6,6,1.5043,-0.0343,0.6528,0
297.539,1,1,2,4,4,5,5,2.5915,0.7685,0.6627,0
491.958,1,1,2,3,3,4,4,-0.082,-0.8754,-1.3011,0
306.526,1,1,2,3,3,6,6,-0.5064,0.8542,0.8347,0
406.997,1,1,1,3,4,4,5,0.3171,-0.1951,0.4325,0
478.436,1,1,2,3,4,4,5,1.5043,-0.6182,-0.2395,0
506.032,1,1,1,5,3,6,6,-0.3381,1.335,1.1973,0
400.433,2,1,2,1,4,4,4,1.1245,-1.1187,-0.5226,0
270.844,2,1,2,1,4,2,2,0.6642,-1.5158,-1.8608,0
434.418,2,1,2,4,4,6,6,1.5043,0.4393,0.8475,0
549.976,2,1,2,1,4,4,4,0.4597,-2.3644,-1.3937,0
585.058,2,1,1,4,4,6,6,0.3171,1.3608,0.7935,0
263.04,2,1,2,3,2,6,6,-0.705,-1.5705,0.0882,0
355.305,2,1,2,1,3,5,6,-0.2663,0.0726,0.8987,0
328.404,2,1,2,3,3,2,2,-0.5064,-0.544,-0.8838,0
304.375,2,1,2,2,3,4,4,-0.3381,0.2468,0.2272,0
369.452,2,1,2,1,4,4,4,0.5073,-0.0359,-1.0132,0
345.967,2,1,2,1,4,4,4,1.1245,0.2256,0.2194,0
416.621,2,1,1,5,4,5,5,0.3171,0.6744,0.6281,0
476.193,2,1,2,3,3,6,6,-0.3381,0.3727,0.8024,0
